Chave,NomeArquivo,CENTROCUSTOSID,DEPARTAMENTO,TIPODEPARTAMENTO,VEREADOR,ANO,MES,DESPESA,CNPJ,FORNECEDOR,VALOR
18,202301000000000000000000008.HTML,8.0,GABINETE DE VEREADOR,1,ADILSON AMADEU,2023,1,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,50.176.288/0001-28,CAMARA MUNICIPAL DE SÃO PAULO,2757.18
18,202301000000000000000000008.HTML,8.0,GABINETE DE VEREADOR,1,ADILSON AMADEU,2023,1,TELEFONE FIXO,02.558.157/0001-62,TELEFONICA BRASIL S/A,218.57
18,202301000000000000000000008.HTML,8.0,GABINETE DE VEREADOR,1,ADILSON AMADEU,2023,1,TELEFONE MOVEL,02.558.157/0001-62,TELEFONICA BRASIL S/A,802.85
1223,20230100000000000000000000223.HTML,223.0,GABINETE DE VEREADOR,1,ALESSANDRO GUEDES,2023,1,COMBUSTIVEL,05.451.897/0001-93,PORTAL LESTE AUTO POSTO LTDA,533.32
1223,20230100000000000000000000223.HTML,223.0,GABINETE DE VEREADOR,1,ALESSANDRO GUEDES,2023,1,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,03.188.474/0001-05,DIGRAF GRAFICA E EDITORA LTDA,5485.0
1223,20230100000000000000000000223.HTML,223.0,GABINETE DE VEREADOR,1,ALESSANDRO GUEDES,2023,1,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,11.756.223/0001-08,DECORART COMUNICAÇÃO VISUAL E ESTRUTURAS METÁLICAS LTDA,4450.0
1223,20230100000000000000000000223.HTML,223.0,GABINETE DE VEREADOR,1,ALESSANDRO GUEDES,2023,1,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,32.219.697/0001-82,VANESSA DA SILVA OLIVEIRA 12465894862,4000.0
1223,20230100000000000000000000223.HTML,223.0,GABINETE DE VEREADOR,1,ALESSANDRO GUEDES,2023,1,CONTRATAÇAO DE PESSOA JURIDICA,32.086.082/0001-25,DINA DE JESUS MACHADO 15725361870 ME,5000.0
1223,20230100000000000000000000223.HTML,223.0,GABINETE DE VEREADOR,1,ALESSANDRO GUEDES,2023,1,CONTRATAÇAO DE PESSOA JURIDICA,40.726.844/0001-39,EDIVALDO ALVES DE SOUSA,5000.0
1223,20230100000000000000000000223.HTML,223.0,GABINETE DE VEREADOR,1,ALESSANDRO GUEDES,2023,1,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,50.176.288/0001-28,CAMARA MUNICIPAL DE SÃO PAULO,2757.18
1223,20230100000000000000000000223.HTML,223.0,GABINETE DE VEREADOR,1,ALESSANDRO GUEDES,2023,1,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,22.392.165/0001-99,ATTBRASIL TECNOLOGIA LOCAÇÃO E SOLUÇÕES EM INFORMATICA LTDA EPP,1710.0
1223,20230100000000000000000000223.HTML,223.0,GABINETE DE VEREADOR,1,ALESSANDRO GUEDES,2023,1,TELEFONE FIXO,02.558.157/0001-62,TELEFONICA BRASIL S/A,188.99
1223,20230100000000000000000000223.HTML,223.0,GABINETE DE VEREADOR,1,ALESSANDRO GUEDES,2023,1,TELEFONE MOVEL,40.432.544/0001-47,CLARO S.A.,267.86
1378,20230100000000000000000000378.HTML,378.0,GABINETE DE VEREADOR,1,ANDRÉ SANTOS,2023,1,COMBUSTIVEL,15.694.111/0001-12,AUTO POSTO PORTAL DA VILA GUILHERME LTDA,472.73
1378,20230100000000000000000000378.HTML,378.0,GABINETE DE VEREADOR,1,ANDRÉ SANTOS,2023,1,COMBUSTIVEL,61.696.027/0001-55,AUTO POSTO ITALIA LTDA,710.39
1378,20230100000000000000000000378.HTML,378.0,GABINETE DE VEREADOR,1,ANDRÉ SANTOS,2023,1,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,61.150.199/0001-29,FRAN LASER GRAFICA E EDITORA LTDA,9980.0
1378,20230100000000000000000000378.HTML,378.0,GABINETE DE VEREADOR,1,ANDRÉ SANTOS,2023,1,CONTRATAÇAO DE PESSOA JURIDICA,11.521.613/0001-90,TECNEGOCIOS SOLUÇOES EM INFORMATICA LTDA- ME,699.0
1378,20230100000000000000000000378.HTML,378.0,GABINETE DE VEREADOR,1,ANDRÉ SANTOS,2023,1,CONTRATAÇAO DE PESSOA JURIDICA,27.240.997/0001-03,GENERSIS RAMOS SOCIEDADE DE ADVOGADOS,7000.0
