vereador,total,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,TELEFONE FIXO,TELEFONE MOVEL,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,INTERMEDIADO - CORREIOS,COMBUSTIVEL,CONTRATAÇAO DE PESSOA JURIDICA,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,INTERMEDIADO - LOCAÇÃO VEICULOS HIBRIDOS,EVENTOS/SEMINARIOS,PROVEDOR DE INTERNET,LIMPEZA DE VEICULOS,REPROGRAFIA (XEROX/ENCADERNAÇÃO),ASSINATURA DE JORNAIS E REVISTAS,CORREIOS,ESTACIONAMENTO,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),LIVROS,LUBRIFICANTE,APERFEIÇOAMENTO PROFISSIONAL,LOCAÇÃO DE VEICULOS HIBRIDOS,LOCAÇÃO DE VEÍCULOS
EDIR SALES,224763.12,0.0,1619.09,0.0,30051.71,39073.06,4966.49,84914.53,8050.0,0.0,6613.36,25493.37,2750.0,0.0,0.0,3415.5,0.0,17816.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RODOLFO DESPACHANTE,224345.4,16910.7,0.0,0.0,54745.0,0.0,7905.2,103900.0,12780.0,25480.0,2624.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOÃO JORGE,222185.13,0.0,0.0,0.0,25085.0,0.0,12387.75,104099.91,30100.0,22770.0,2249.1,25493.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUANA ALVES,219445.66,19300.26,0.0,0.0,24700.0,0.0,7976.53,107675.37,31570.0,26250.0,1973.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISAC FELIX,216122.44,19300.26,0.0,0.0,41570.0,0.0,14205.34,48370.0,36658.35,0.0,20797.72,0.0,0.0,0.0,0.0,0.0,0.0,35220.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENIVAL MOURA,215752.32,2665.27,0.0,0.0,52500.0,0.0,5124.19,80500.0,25812.0,24500.0,2678.0,21972.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEORGE HATO,213859.06,3768.15,2248.67,583.26,21550.0,198.35,8207.67,114446.0,31450.0,5490.63,3712.72,20516.09,0.0,1192.82,0.0,0.0,494.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELISEU GABRIEL,210041.18,1378.59,0.0,1464.01,19775.0,13254.72,4208.78,82590.0,43503.0,7500.0,2785.67,23672.41,9829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0
SILVIA DA BANCADA FEMINISTA,196346.43,19300.26,0.0,427.05,10000.0,0.0,5376.62,119000.0,38664.25,0.0,3578.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARCELO MESSIAS,196089.03,0.0,265.04,74.13,84546.45,9801.3,2286.1,46180.0,22400.0,0.0,3247.9,25493.37,0.0,1782.74,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
ALESSANDRO GUEDES,195726.5,19300.26,1339.89,1863.02,58584.75,0.0,4385.29,96673.69,11970.0,288.7,1320.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELI CORRÊA,194960.81,275.72,0.0,0.0,15800.0,134.07,4130.51,122500.0,20510.0,0.0,4486.53,25129.18,0.0,0.0,0.0,0.0,1994.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAIR TATTO,193163.88,19300.26,0.0,0.0,49480.0,1105.52,0.0,90900.0,14370.61,0.0,8469.07,0.0,2841.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6697.02,0.0,0.0
ATILIO FRANCISCO,185286.34,183.81,0.0,0.0,23544.8,8908.84,6243.66,95566.0,6265.0,0.0,19323.65,25250.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR SIDNEY CRUZ,176756.98,0.0,0.0,0.0,38713.98,5386.27,5113.01,81743.0,7700.0,600.0,12007.35,25493.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GILSON BARRETO,165572.55,19300.26,0.0,1854.79,55019.0,521.7,11073.25,42000.0,33600.0,1853.85,349.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARLON DO UBER,163956.48,0.0,0.0,1688.97,55147.2,0.0,11802.98,20000.0,49546.25,0.0,3934.95,0.0,0.0,5088.3,0.0,0.0,2077.2,0.0,0.0,0.0,0.0,0.0,0.0,3641.91,11028.72
TONINHO VESPOLI,163503.62,0.0,0.0,861.67,20279.0,0.0,4987.97,95639.38,12673.28,26300.0,2500.5,0.0,0.0,261.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
